==== Kolmogorov Complexity Constraint Portfolio Optimization ====
Initial weights: [0.2 0.2 0.2 0.2 0.2]
lambda: 0.5, gamma: 0.01, eta: 0.01, lr: 0.01, epochs: 100

Epoch 37: Weights: [0.0, 0.0, 0.0, 0.6133196958580146, 0.38668030414198545], Objective: 0.499437, Penalty: 0.030000, Sparsity: 2
Epoch 38: Weights: [0.0, 0.0, 0.0, 0.6178720062884768, 0.38212799371152323], Objective: 0.497831, Penalty: 0.030000, Sparsity: 2
Epoch 39: Weights: [0.0, 0.0, 0.0, 0.6225188067024624, 0.37748119329753754], Objective: 0.496204, Penalty: 0.030000, Sparsity: 2
Epoch 40: Weights: [0.0, 0.0, 0.0, 0.6272619257221749, 0.37273807427782507], Objective: 0.494556, Penalty: 0.030000, Sparsity: 2
Epoch 41: Weights: [0.0, 0.0, 0.0, 0.632103221623354, 0.367896778376646], Objective: 0.492888, Penalty: 0.030000, Sparsity: 2
Epoch 42: Weights: [0.0, 0.0, 0.0, 0.6370445825625651, 0.36295541743743487], Objective: 0.491199, Penalty: 0.030000, Sparsity: 2
Epoch 43: Weights: [0.0, 0.0, 0.0, 0.6420879267936568, 0.3579120732063432], Objective: 0.489491, Penalty: 0.030000, Sparsity: 2
Epoch 44: Weights: [0.0, 0.0, 0.0, 0.6472352028726337, 0.35276479712736625], Objective: 0.487763, Penalty: 0.030000, Sparsity: 2
Epoch 45: Weights: [0.0, 0.0, 0.0, 0.6524883898501699, 0.3475116101498301], Objective: 0.486016, Penalty: 0.030000, Sparsity: 2
Epoch 46: Weights: [0.0, 0.0, 0.0, 0.6578494974509532, 0.3421505025490469], Objective: 0.484250, Penalty: 0.030000, Sparsity: 2
Epoch 47: Weights: [0.0, 0.0, 0.0, 0.6633205662390267, 0.3366794337609733], Objective: 0.482465, Penalty: 0.030000, Sparsity: 2
Epoch 48: Weights: [0.0, 0.0, 0.0, 0.6689036677682617, 0.33109633223173823], Objective: 0.480662, Penalty: 0.030000, Sparsity: 2
Epoch 49: Weights: [0.0, 0.0, 0.0, 0.6746009047170671, 0.32539909528293287], Objective: 0.478841, Penalty: 0.030000, Sparsity: 2
Epoch 50: Weights: [0.0, 0.0, 0.0, 0.6804144110064101, 0.3195855889935899], Objective: 0.477002, Penalty: 0.030000, Sparsity: 2
Epoch 51: Weights: [0.0, 0.0, 0.0, 0.6863463519001924, 0.3136536480998075], Objective: 0.475147, Penalty: 0.030000, Sparsity: 2
Epoch 52: Weights: [0.0, 0.0, 0.0, 0.6923989240869958, 0.30760107591300423], Objective: 0.473276, Penalty: 0.030000, Sparsity: 2
Epoch 53: Weights: [0.0, 0.0, 0.0, 0.6985743557421769, 0.30142564425782326], Objective: 0.471389, Penalty: 0.030000, Sparsity: 2
Epoch 54: Weights: [0.0, 0.0, 0.0, 0.7048749065692643, 0.2951250934307357], Objective: 0.469487, Penalty: 0.030000, Sparsity: 2
Epoch 55: Weights: [0.0, 0.0, 0.0, 0.7113028678195756, 0.28869713218042437], Objective: 0.467570, Penalty: 0.030000, Sparsity: 2
Epoch 56: Weights: [0.0, 0.0, 0.0, 0.7178605622889397, 0.2821394377110603], Objective: 0.465641, Penalty: 0.030000, Sparsity: 2
Epoch 57: Weights: [0.0, 0.0, 0.0, 0.7245503442903823, 0.2754496557096176], Objective: 0.463698, Penalty: 0.030000, Sparsity: 2
Epoch 58: Weights: [0.0, 0.0, 0.0, 0.7313745996015967, 0.2686254003984034], Objective: 0.461745, Penalty: 0.030000, Sparsity: 2
Epoch 59: Weights: [0.0, 0.0, 0.0, 0.7383357453859892, 0.2616642546140108], Objective: 0.459780, Penalty: 0.030000, Sparsity: 2
Epoch 60: Weights: [0.0, 0.0, 0.0, 0.7454362300860637, 0.25456376991393626], Objective: 0.457805, Penalty: 0.030000, Sparsity: 2
Epoch 61: Weights: [0.0, 0.0, 0.0, 0.7526785332878684, 0.24732146671213157], Objective: 0.455822, Penalty: 0.030000, Sparsity: 2
Epoch 62: Weights: [0.0, 0.0, 0.0, 0.7600651655552058, 0.23993483444479421], Objective: 0.453832, Penalty: 0.030000, Sparsity: 2
Epoch 63: Weights: [0.0, 0.0, 0.0, 0.767598668232271, 0.23240133176772898], Objective: 0.451835, Penalty: 0.030000, Sparsity: 2
Epoch 64: Weights: [0.0, 0.0, 0.0, 0.7752816132133556, 0.22471838678664438], Objective: 0.449833, Penalty: 0.030000, Sparsity: 2
Epoch 65: Weights: [0.0, 0.0, 0.0, 0.783116602678223, 0.21688339732177697], Objective: 0.447827, Penalty: 0.030000, Sparsity: 2
Epoch 66: Weights: [0.0, 0.0, 0.0, 0.7911062687917347, 0.20889373120826532], Objective: 0.445820, Penalty: 0.030000, Sparsity: 2
Epoch 67: Weights: [0.0, 0.0, 0.0, 0.7992532733662769, 0.200746726633723], Objective: 0.443812, Penalty: 0.030000, Sparsity: 2
Epoch 68: Weights: [0.0, 0.0, 0.0, 0.8075603074855122, 0.1924396925144877], Objective: 0.441804, Penalty: 0.030000, Sparsity: 2
Epoch 69: Weights: [0.0, 0.0, 0.0, 0.8160300910879519, 0.183969908912048], Objective: 0.439800, Penalty: 0.030000, Sparsity: 2
Epoch 70: Weights: [0.0, 0.0, 0.0, 0.8246653725088244, 0.1753346274911755], Objective: 0.437800, Penalty: 0.030000, Sparsity: 2
Epoch 71: Weights: [0.0, 0.0, 0.0, 0.8334689279786889, 0.16653107202131115], Objective: 0.435807, Penalty: 0.030000, Sparsity: 2
Epoch 72: Weights: [0.0, 0.0, 0.0, 0.8424435610772222, 0.15755643892277787], Objective: 0.433822, Penalty: 0.030000, Sparsity: 2
Epoch 73: Weights: [0.0, 0.0, 0.0, 0.85159210214059, 0.14840789785941008], Objective: 0.431848, Penalty: 0.030000, Sparsity: 2
Epoch 74: Weights: [0.0, 0.0, 0.0, 0.8609174076207914, 0.13908259237920864], Objective: 0.429887, Penalty: 0.030000, Sparsity: 2
Epoch 75: Weights: [0.0, 0.0, 0.0, 0.8704223593953538, 0.12957764060464616], Objective: 0.427941, Penalty: 0.030000, Sparsity: 2
Epoch 76: Weights: [0.0, 0.0, 0.0, 0.8801098640257401, 0.11989013597425993], Objective: 0.426013, Penalty: 0.030000, Sparsity: 2
Epoch 77: Weights: [0.0, 0.0, 0.0, 0.8899828519628188, 0.11001714803718114], Objective: 0.424105, Penalty: 0.030000, Sparsity: 2
Epoch 78: Weights: [0.0, 0.0, 0.0, 0.9000442766977428, 0.09995572330225722], Objective: 0.422220, Penalty: 0.030000, Sparsity: 2
Epoch 79: Weights: [0.0, 0.0, 0.0, 0.9102971138565711, 0.08970288614342889], Objective: 0.420361, Penalty: 0.030000, Sparsity: 2
Epoch 80: Weights: [0.0, 0.0, 0.0, 0.9207443602369738, 0.0792556397630262], Objective: 0.418531, Penalty: 0.030000, Sparsity: 2
Epoch 81: Weights: [0.0, 0.0, 0.0, 0.9313890327853543, 0.06861096721464562], Objective: 0.416733, Penalty: 0.030000, Sparsity: 2
Epoch 82: Weights: [0.0, 0.0, 0.0, 0.9422341675127336, 0.05776583248726636], Objective: 0.414970, Penalty: 0.030000, Sparsity: 2
Epoch 83: Weights: [0.0, 0.0, 0.0, 0.9532828183477458, 0.0467171816522543], Objective: 0.413245, Penalty: 0.030000, Sparsity: 2
Epoch 84: Weights: [0.0, 0.0, 0.0, 0.9645380559251102, 0.035461944074889735], Objective: 0.411563, Penalty: 0.030000, Sparsity: 2
Epoch 85: Weights: [0.0, 0.0, 0.0, 0.9760029663079626, 0.023997033692037446], Objective: 0.409927, Penalty: 0.030000, Sparsity: 2
Epoch 86: Weights: [0.0, 0.0, 0.0, 0.9876806496424441, 0.01231935035755594], Objective: 0.408340, Penalty: 0.030000, Sparsity: 2
Epoch 87: Weights: [0.0, 0.0, 0.0, 1.0, 0.0], Objective: 0.396753, Penalty: 0.020000, Sparsity: 1
Epoch 88: Weights: [0.0, 0.0, 0.0, 1.0, 0.0], Objective: 0.396753, Penalty: 0.020000, Sparsity: 1
Epoch 89: Weights: [0.0, 0.0, 0.0, 1.0, 0.0], Objective: 0.396753, Penalty: 0.020000, Sparsity: 1
Epoch 90: Weights: [0.0, 0.0, 0.0, 1.0, 0.0], Objective: 0.396753, Penalty: 0.020000, Sparsity: 1
Epoch 91: Weights: [0.0, 0.0, 0.0, 1.0, 0.0], Objective: 0.396753, Penalty: 0.020000, Sparsity: 1
Epoch 92: Weights: [0.0, 0.0, 0.0, 1.0, 0.0], Objective: 0.396753, Penalty: 0.020000, Sparsity: 1
Epoch 93: Weights: [0.0, 0.0, 0.0, 1.0, 0.0], Objective: 0.396753, Penalty: 0.020000, Sparsity: 1
Epoch 94: Weights: [0.0, 0.0, 0.0, 1.0, 0.0], Objective: 0.396753, Penalty: 0.020000, Sparsity: 1
Epoch 95: Weights: [0.0, 0.0, 0.0, 1.0, 0.0], Objective: 0.396753, Penalty: 0.020000, Sparsity: 1
Epoch 96: Weights: [0.0, 0.0, 0.0, 1.0, 0.0], Objective: 0.396753, Penalty: 0.020000, Sparsity: 1
Epoch 97: Weights: [0.0, 0.0, 0.0, 1.0, 0.0], Objective: 0.396753, Penalty: 0.020000, Sparsity: 1
Epoch 98: Weights: [0.0, 0.0, 0.0, 1.0, 0.0], Objective: 0.396753, Penalty: 0.020000, Sparsity: 1
Epoch 99: Weights: [0.0, 0.0, 0.0, 1.0, 0.0], Objective: 0.396753, Penalty: 0.020000, Sparsity: 1
Epoch 100: Weights: [0.0, 0.0, 0.0, 1.0, 0.0], Objective: 0.396753, Penalty: 0.020000, Sparsity: 1

==== Optimization Completed ====
Final weights: [0. 0. 0. 1. 0.]
Final sparsity (non-zero): 1
============================================================
